iter	Passed	Remaining
436	1408	1814
437	1411	1811
438	1414	1808
439	1417	1804
440	1421	1801
441	1424	1798
442	1427	1794
443	1430	1791
444	1433	1788
445	1437	1785
446	1440	1781
447	1443	1778
448	1446	1775
449	1450	1772
450	1453	1768
451	1456	1765
452	1459	1762
453	1462	1759
454	1465	1755
455	1468	1752
456	1471	1748
457	1474	1745
458	1477	1741
459	1481	1739
460	1484	1735
461	1487	1731
462	1490	1728
463	1492	1724
464	1496	1721
465	1499	1718
466	1502	1714
467	1505	1711
468	1508	1707
469	1511	1704
470	1514	1701
471	1517	1697
472	1520	1694
473	1523	1690
474	1526	1687
475	1529	1683
476	1532	1680
477	1535	1676
478	1538	1672
479	1540	1669
480	1544	1666
481	1547	1662
482	1550	1659
483	1553	1655
484	1555	1652
485	1559	1648
486	1562	1645
487	1565	1642
488	1568	1638
489	1571	1635
490	1574	1632
491	1578	1629
492	1581	1626
493	1584	1622
494	1587	1619
495	1590	1615
496	1594	1613
497	1597	1610
498	1600	1606
499	1603	1603
500	1606	1600
501	1610	1598
502	1614	1594
503	1616	1591
504	1619	1587
505	1622	1584
506	1625	1581
507	1629	1577
508	1632	1574
509	1635	1571
510	1638	1567
511	1641	1564
512	1644	1560
513	1647	1557
514	1650	1554
515	1653	1550
516	1656	1547
517	1659	1544
518	1662	1540
519	1665	1537
520	1668	1534
521	1671	1530
522	1674	1527
523	1677	1524
524	1680	1520
525	1684	1517
526	1687	1514
527	1690	1510
528	1693	1507
529	1696	1504
530	1698	1500
531	1702	1497
532	1705	1494
533	1709	1491
534	1712	1488
535	1715	1484
536	1718	1481
537	1721	1478
538	1725	1475
539	1727	1471
540	1730	1468
541	1734	1465
542	1737	1462
543	1740	1459
544	1743	1455
545	1746	1452
546	1750	1449
547	1753	1446
548	1756	1443
549	1759	1439
550	1762	1436
551	1765	1433
552	1768	1429
553	1772	1427
554	1775	1423
555	1778	1420
556	1782	1417
557	1784	1413
558	1788	1411
559	1791	1407
560	1794	1404
561	1797	1401
562	1800	1397
563	1803	1394
564	1807	1391
565	1810	1388
566	1813	1385
567	1816	1381
568	1820	1379
569	1823	1375
570	1826	1372
571	1829	1369
572	1832	1365
573	1835	1362
574	1838	1358
575	1841	1355
576	1844	1352
577	1847	1349
578	1851	1346
579	1854	1342
580	1857	1339
581	1860	1336
582	1863	1333
583	1867	1330
584	1870	1326
585	1873	1323
586	1876	1320
587	1879	1316
588	1882	1313
589	1885	1310
590	1889	1307
591	1892	1304
592	1895	1300
593	1898	1297
594	1901	1294
595	1904	1291
596	1908	1288
597	1911	1284
598	1914	1281
599	1918	1278
600	1922	1276
601	1925	1273
602	1929	1270
603	1932	1266
604	1935	1263
605	1939	1261
606	1943	1258
607	1946	1255
608	1950	1252
609	1953	1249
610	1957	1246
611	1960	1243
612	1964	1240
613	1967	1237
614	1971	1234
615	1975	1231
616	1979	1228
617	1982	1225
618	1985	1222
619	1989	1219
620	1993	1216
621	1996	1213
622	1999	1209
623	2002	1206
624	2005	1203
625	2008	1199
626	2011	1196
627	2013	1192
